0,Bombadier,Aerospatiale-BACConcorde,18,202
1,Airbus,AirbusA300,18,184
2,Airbus,AirbusA310,17,238
3,Airbus,AirbusA318,27,192
4,Airbus,AirbusA319,19,156
5,Airbus,AirbusA330,13,206
6,Airbus,AirbusA340,23,180
7,Airbus,AirbusA350XWB,24,247
8,Airbus,AirbusA380,29,177
9,Antonov,AntonovAn-148/An-158,25,240
10,Canadair,AvroCanadaC102Jetliner,5,237
11,Baade,Baade152,29,180
12,BAC,BACOne-Eleven,10,183
13,Rombac,Rombac1-11,27,189
14,Boeing,Boeing707,10,202
15,Boeing,Boeing717,19,163
16,Boeing,Boeing720,4,241
17,Boeing,Boeing727,25,233
18,Boeing,Boeing737,20,207
19,Boeing,Boeing747,23,199
20,Boeing,Boeing757,21,240
21,Boeing,Boeing767,28,217
22,Boeing,Boeing777,24,206
23,Bombadier,Boeing787Dreamliner,25,181
24,Bombadier,BombardierCRJ100,11,190
25,Bombadier,BombardierCRJ700,4,174
26,Bombadier,BombardierCSeries,24,243
27,Bombadier,BritishAerospaceBAe146,23,201
28,Comac,ComacARJ21Xiangfeng,20,201
29,Comac,ComacC919,26,218
30,Convair,Convair880,6,249
31,Bombadier,Convair990Coronado,23,165
32,Bombadier,DassaultMercure100,4,235
33,UKir,deHavillandDH106Comet,16,224
34,Dou,DouglasDC-8,26,155
35,Embraer,EmbraerERJ135,26,186
36,Embraer,EmbraerE-170,8,180
37,Fairchild,Fairchild-Dornier328JET,30,225
38,Fokker,FokkerF28Fellowship,6,226
39,Fokker,Fokker70,24,172
40,Fokker,Fokker100,24,155
41,UKir,HawkerSiddeleyHS121Trident,26,203
42,Ily,IlyushinIl-62,16,217
43,Ily,IlyushinIl-86,25,240
44,Ily,IlyushinIl-96,13,232
45,Ily,IrkutMC-21,28,232
46,USAir,LockheedL-1011TriStar,15,204
47,McDonellDouglas,McDonnellDouglasDC-9,30,157
48,McDonellDouglas,McDonnellDouglasDC-9Super80,14,245
49,Ily,McDonnellDouglasDC-10,18,244
50,Ily,McDonnellDouglasMD-11,14,209
51,Ily,McDonnellDouglasMD-90,7,154
52,Mitsubishi,MitsubishiRegionalJet,30,248
53,Mitsubishi,ShanghaiY-10,17,242
54,Franceir,SudAviationSE-210,18,209
55,Sukhoi,SukhoiSuperjetSSJ100,23,164
56,Tupolev,TupolevTu-104,14,226
57,Tupolev,TupolevTu-110,7,169
58,Tupolev,TupolevTu-124,16,216
59,Tupolev,TupolevTu-134,14,176
60,Tupolev,TupolevTu-144,22,174
61,Tupolev,TupolevTu-154,19,221
62,Tupolev,TupolevTu-204,26,213
63,Tupolev,TupolevTu-334,8,176
64,Bombadier,VFW-Fokker614,4,185
65,Bombadier,VickersVC10,24,169
66,Yak,YakovlevYak-40,6,215
